library_size_case_id,policy_id,launch_role,rejection_reason,row_count
balanced_cluster,no_memory_baseline,final_heldout,,299
balanced_cluster,spatial_flow_belief_memory_h10,final_heldout,,299
balanced_cluster,spatial_flow_belief_memory_h3,final_heldout,,299
balanced_cluster,spatial_flow_belief_memory_h30,final_heldout,,299
heavy_cluster,no_memory_baseline,final_heldout,,122
heavy_cluster,spatial_flow_belief_memory_h10,final_heldout,,122
heavy_cluster,spatial_flow_belief_memory_h3,final_heldout,,122
heavy_cluster,spatial_flow_belief_memory_h30,final_heldout,,122
light_cluster,no_memory_baseline,final_heldout,,503
light_cluster,spatial_flow_belief_memory_h10,final_heldout,,507
light_cluster,spatial_flow_belief_memory_h3,final_heldout,,509
light_cluster,spatial_flow_belief_memory_h30,final_heldout,,510
no_cluster_no_merge,no_memory_baseline,final_heldout,,717
no_cluster_no_merge,spatial_flow_belief_memory_h10,final_heldout,,710
no_cluster_no_merge,spatial_flow_belief_memory_h3,final_heldout,,711
no_cluster_no_merge,spatial_flow_belief_memory_h30,final_heldout,,713
super_light_cluster,no_memory_baseline,final_heldout,,509
super_light_cluster,spatial_flow_belief_memory_h10,final_heldout,,537
super_light_cluster,spatial_flow_belief_memory_h3,final_heldout,,537
super_light_cluster,spatial_flow_belief_memory_h30,final_heldout,,538
